Description,Title,URL,Compensation,Address,Employment Type
"Position: Engineering Salesperson

Company Overview:  Since 1926, Bronx-based EASCO Boiler Corporation manufactures commercial steel boilers and tanks (NYC & UL approved, shop built and field erected) and offers a full-service repair department.  Additionally, EASCO maintains a fleet of over 50 temporary mobile boilers that are self-contained trailers, available on a 24/7 basis.  EASCO boilers and tanks can be found in over 15,000 locations such as the World Trade Center, New York Yankee Stadium and Trump Towers.  

Position Overview: EASCO is seeking an enthusiastic, motivated and skilled engineering salesperson who will join the sales team in promoting and selling the company's products and services.  This includes conducting research on prospective clients, pitching to prospects and following -up with prospects to pursue sales opportunities.  Prospective clients include mechanical engineers, general contractors, property owners and a myriad other client types.  Public sector agencies also represent prospective new business opportunities.  Prospective client pitches require engineering experience in evaluating the client need and matching it to appropriate EASCO products.  Engineering candidates without sales experience can be trained in EASCO sales techniques, as long as a candidate possesses a sufficient level professional engineering experience.

Experience / Skills Required:  Preferred 5 years of experience in the engineering field (electrical or mechanical).  Undergraduate degree in engineering and sales experience also are preferred.  Additionally candidates must be personable, have great presentation skills and are capable of developing and maintaining relationships with a wide variety of clients.

Pay: Negotiable.  Commiserate with experience.  Will assist with re-location expenses.

Please submit resume and cover letter if interested.",Sales Engineer,https://newyork.craigslist.org/brx/egr/6115850957.html,Commiserate with Experience,"Bronx, NY",full-time
"Multi Family Real Estate Management Co with over 2000 units. 
 seeks individual to join our property manager team. 

 Candidate must posses knowledge of property management
 to include addressing issues such as roof leaks, boiler issues 
 general repair requests from tenants units. Must also 
 have managerial skills to know how to handle building 
 staff. 

 Must have car. 

 E Mail Resume",Porfolio Property Manager,https://newyork.craigslist.org/stn/egr/6113906243.html,"56,000 plus medical for a single",Edison,full-time
"*** Candidates holding a degree in either Architecture or Engineering will be reviewed/considered for the position.***


We are a Building Code Consulting and Expediting firm in Manhattan and are currently seeking a full-time Project Supervisor to join our team of Project Managers. 

Project Supervisors are responsible for:
- Filing construction applications with DOB and LPC
- An understanding of the building code coupled with the processes of the Department of Buildings, Landmark Preservation Commission, and other city agencies 
- Review of filing drawings
- Prepare and assemble Alt 2 and Alt 3 applications for filing with various city agencies: DOB, LPC, DOT, etc.
- Process post-approval amendments
- Maintain client relations, answer questions and provide project status
- Maintain tracking for status of applications 
- Complete applications to gain approval
- Prepare and file reconsiderations
- Basic knowledge of construction means and methods and building codes

Qualifications:
- Must have a degree in either Architecture or Engineering
- Minimum of one (1) year of relevant experience in this industry
- Strong interpersonal, communicative, and writing skills
- Interested in networking and developing in New York's architecture scene

We're seeking someone with the desire and drive to become a long-term, indispensable member of our team. 

Compensation range is $40-45k, based on experience and education.

Hours are 8:00 AM to 5:00 PM, Monday through Friday. Our firm offers full medical and dental benefits, long-term disability, and paid vacation. Please submit your resume, cover letter, and salary requirements.",Project Supervisor -- $40-45k,https://newyork.craigslist.org/mnh/egr/6113949027.html,$40k-45k,TriBeCa,full-time
"The Candidate Must have experience with Autocad 
aSa and Microstation Experience Helpful. 

Knowledge of  MS Office
Must be able to produce Shop Drawings Reinforced Details from Structural Drawings.
Must be familiar with Architectural and Structural Drawings, Shop Drawings, Sketches, RFIs and plotting them whole or partially 
Knowledge of Extracting and Checking Rebar Data from Shop Drawings for Column, Shear Wall and Slab 
Must be able to communicate with Structural Engineer to get answers on how to solve Technical Issues 
Practical Fields Work Experience is helpful.

Location:  Hillside NJ
Submit resumes with Salary Requirements.",REBAR DETAILER ENGINEER,https://newyork.craigslist.org/jsy/egr/6113604356.html,Rebar Detailer Engineer (Hillside NJ),Hillside NJ,full-time
"Established 20+ person engineering firm is seeking a civil engineer or engineering technician for work on site development and infrastructure products including: • Layout • Roadways • Grading • Erosion control • Drainage • Utilities • Boundary & topographic surveys

MUST BE ABLE TO WORK WITHOUT SPONSORSHIP
______________________________________________________________________________

Required:
• Excellent verbal and written communication skills
• Proficient in use of AutoCAD and related software.

• PE/FE/EIT preferred
• CIVIL 3D a plus

________________________________________________________________________________

Excellent benefit packages for full-time employees which include: 
medical, dental, vision, 401k, paid vacations and holidays.

To apply, please reply with resume.
________________________________________________________________________________",CIVIL ENGINEER or ENGINEERING TECHNICIAN - Full Time Position,https://newyork.craigslist.org/fct/egr/6112980990.html,Competitive salary commensurate with experience.,Greenwich CT,full-time
"Wireless/RF Telecom Technician (Bucket Truck Operator) in NYC (Whitestone/Queens)

$22-$23 per hour depending on experience, plus medical benefits options, and overtime.

Employment type: full-time, 1 year contract

Duties are to perform testing and integration of Wireless Telecommunications equipment in Wireless Hubs in the Greater NYC area.

Requirements:

-MUST have experience operating a bucket truck

-Experience as a wireless/RF Technician

-Experience with ATP work

-Schedule flexibility

-40 hours a week and possibly overtime

-Computer skills with Excel and email

-Clean driving record

-Comfortable using test equipment

-Eager to learn and motivated.

-Technical degree preferred or equivalent industry experience is acceptable

• Must be familiar with hand tools

• Must be at least 25 years old to operate the truck

• Okay with driving for 8 hours + sometimes

• Cannot be afraid of heights

• Must be not be afraid to drive a large truck.

This position requires a good amount of climbing in and out of the truck and into the bucket. Candidate will be required to wear a safety harness.

Must be able to pass drug test and background check! Must have a clean driving record!

Please reply with resume attached.


Job Type: Full-time

Job Location:

Queens, NY (Whitestone)

Required experience:

Operating a bucket truck: 1 year
Performing wireless technician duties: 1 year",Wireless/RF Telecom Technician (Bucket Truck Operator) in NYC (Whitest,https://newyork.craigslist.org/que/egr/6114035303.html,"$22-$23 per hour depending on experience, plus medical and overtime",Whitestone,full-time
"General contractor company is looking for an office engineer with Civil Engineering or Architecture background. We require minimum 5 years work experience in the US. We require excellent understanding of drawings and specifications, buy-outs, acquire material quotes, marking as-built drawings, correspondence with Architects regarding ongoing projects, sending RFIs, change orders, knowledge of office administration work, computer skills which include but are not limited to Auto-CAD, Microsoft Excel, Word, Outlook, Microsoft Project and ability to utilize the internet to gather project submittals. You must have strong ability to read, analyze and implement construction plans and specifications. You must also have experience working with New York City agencies, such as DDC, SCA, NYCHA, and more.

You will also be tasked with completing administrative work and assisting principals as necessary.

This job is for immediate hiring.Even though the office is located in Mt. Vernon, NY, we have projects in the five boroughs and we sometimes require the Office Engineer to visit the job site for field measurements, meetings, etc.

Salary: To be determined based on qualification and experience
Career Level Required: Experienced
Experience Required: Minimum 5 Years
Education Required: Bachelor's of Science in Civil Engineering degree or Bachelor's of Science in Architecture
Job Type: Employee
Job Status: Full Time",Office Engineer,https://newyork.craigslist.org/wch/egr/6113629065.html,To be based upon experience,,full-time
"Candidate with interest in design and business sought for large international architectural design office. Candidate will gain experience in practice management, marketing, and business development.

Candidate must have:
-    Minimum three years of prior experience, preferably at an architecture and/or engineering firm.
-    Expertise in Microsoft Office Suite and Adobe Creative Cloud, especially Excel and InDesign.
-    Ability to manage time to meet multiple simultaneous deadlines.

Please send resumes and work samples in a single file to for consideration

The candidate will be responsible for the following:
-    Fee analysis and benchmarking
-    Preparation of fee proposals following standard office methodologies
-    Preparing staff projections and assignments
-    Salary analysis
-    Participating in bi-annual staff reviews
-    Develop updates for office policies and procedures when required
-    Develop and maintain graphic standards and templates
-    Preparing marketing material that communicates firm's experience and responds to client requirements

Please send resumes and work samples in a single file for consideration.",Office Analyst,https://newyork.craigslist.org/mnh/egr/6113840946.html,salary commensurate with experience,SoHo,full-time
"Extremely reputable NYC Development office seeks Intermediate level Architect with strong Project Management skills to assist executive development officer. Company develops/owns/operates/sells a variety of building typologies throughout the US including but not limited to mixed-use, market rate residential, hotel and commercial office towers. PM will work in tandem with various teams including acquisitions, finance, marketing and the director of construction throughout the course of a project lifecycle. Will oversee the work produced by design and technical consultants and hold parties acceptable to budget and schedule, as well as make aesthetic decisions where necessary. 

Seeking candidate with 5(+/-) years, BArch required. MS Arch, Finance, Real Estate, preferred, but not required. Must have prior exposure to large scale, well designed, new construction. Strong organizational skills. Ability to communicate and interact with professionals across a broad spectrum up to and including ""C"" level officers. Must have interest in learning the financial side of the business and proven ability to acclimate quickly to new conditions.",Intermediate Architectural PM / Development Office,https://newyork.craigslist.org/mnh/egr/6113717555.html,Competitive salary. Project Completion Bonuses.,Midtown East,full-time
"The Candidate Must have experience with Autocad 
aSa and Microstation Experience Helpful. 

Knowledge of  MS Office
Must be able to produce Shop Drawings Reinforced Details from Structural Drawings.
Must be familiar with Architectural and Structural Drawings, Shop Drawings, Sketches, RFIs and plotting them whole or partially 
Knowledge of Extracting and Checking Rebar Data from Shop Drawings for Column, Shear Wall and Slab 
Must be able to communicate with Structural Engineer to get answers on how to solve Technical Issues 
Practical Fields Work Experience is helpful.

Location:  Hillside NJ
Submit resumes with Salary Requirements.",REBAR DETAILER ENGINEER,https://newyork.craigslist.org/jsy/egr/6113614773.html,Rebar Detailer Engineer (Hillside NJ),Hillside NJ,full-time
